compound_smiles	compound_source	compound_inchikey	gram-positive	gram-negative	fungi	acid-fast
CC1=CC=CN2C(=O)C3=C(N=C12)N(C1CCCCC1)C(=N)C(=C3)C(=O)NC1=CC=CO1	spark	AHMFFZKAIGLLKS-UHFFFAOYSA-N		5.0		
COC1=CC=C(CNC(=O)C2=C(C)C3=CC=CC=C3O2)C=C1	spark	RRJQQNBDEPFCFR-UHFFFAOYSA-N		5.0		
CCCN1C(=O)\C(=C2/SC(=S)NC2=O)C2=C1C=CC(Br)=C2	spark	IKFKQALZHYBOLH-KHPPLWFESA-N	6.0			
CC(C)C1=C(NC(=O)C2=C(Cl)C=C(C=C2)[N+]([O-])=O)C=CC=C1	spark	CLDIIJAOORKAIK-UHFFFAOYSA-N		5.0		
ClC1=CC=CC(NC(=O)N2CCN(CC3=CC=CC=C3)CC2)=C1	spark	JSOHNHBDVGATFA-UHFFFAOYSA-N		5.0		
ClC1=CC=CC(NC(=O)N2CCN(CC2)C2=CC=CC=C2)=C1	spark	ZLBXUONOZMWQLS-UHFFFAOYSA-N		5.0		
ClC1=CC=CC(NC(=O)N2CCC3=C(C2)C=CC=C3)=C1	spark	JGPNTZICCWADOL-UHFFFAOYSA-N		5.0		
ClC1=CC(Cl)=C(C=C1)C(=O)N1CCCC2=C1C=CC=C2	spark	ZJHFAQJNPFTPQQ-UHFFFAOYSA-N		5.0		
OCC1=CN(N=C1C1=C(Cl)C=C(Cl)C=C1)C1=CC=CC=C1	spark	VBLNIBGMKUEXDH-UHFFFAOYSA-N		5.0		
OCC1=CN(N=C1C1=CC=C2OCCOC2=C1)C1=CC=C(F)C=C1	spark	YDAAQHUAVIPKIO-UHFFFAOYSA-N		5.0		
OCC1=CN(N=C1C1=CC=C2OCCOC2=C1)C1=CC=C(F)C(Cl)=C1	spark	OAVRZGLNCBTNOV-UHFFFAOYSA-N		5.0		
CC(=O)NC1=C(N=C(N)S1)C1=CC=CS1	spark	FRBSZMIINJLVAW-UHFFFAOYSA-N		5.0		
CN1C(=CN2C3=C(C=CC=C3)N=C12)C1=CC=CC=C1	spark	IRWFBVGNNFTFET-UHFFFAOYSA-N		5.0		
CC1=CC2=C(NC3=C2CCCC3NCC2=CC=CC=C2)C=C1	spark	QFDFWFMCDCUQNX-UHFFFAOYSA-N		6.0		
CC1=CC=CC(OCC(=O)NC2=CC3=C(OCO3)C=C2)=C1C	spark	GMHPWBXNSATUAQ-UHFFFAOYSA-N		5.0		
NC1=NC(=CS1)C1=CC=C(Br)C=C1	spark	ZBRNKOLWXWMLTA-UHFFFAOYSA-N		5.0		
CC1CCN(CC1)C(=O)COC1=C(Cl)C=C(Cl)C=C1	spark	PVTFFYIKUVLYOO-UHFFFAOYSA-N		5.0		
CC1=NNC2=C1C(C1=C(O)C(Cl)=CC(Cl)=C1)C(C#N)=C(N)O2	spark	XTXJJTRHBGRMLF-UHFFFAOYSA-N		5.0		
[O-][N+](=O)C1=CC=C(O1)\C=C(/C#N)C1=NC2=C(S1)C=CC=C2	spark	JESQZERTWSMDEP-VQHVLOKHSA-N		6.5		
CC1=CC=C(SCC2=CC=C(O2)[N+]([O-])=O)C=C1	spark	QHEJINWLUOFRDU-UHFFFAOYSA-N		5.5		
N#CC(=CC1=CC=C(O1)SC1=CC=CC=C1)C#N	spark	FQRLBFXWYGCFKO-UHFFFAOYSA-N		5.0		
CCCCS(=O)(=O)CC1=CC=C(O1)[N+]([O-])=O	spark	VMFUKYVBATUXSR-UHFFFAOYSA-N		5.0		
[O-][N+](=O)C1=CC=C(CSC2=CC=C(C=C2)[N+]([O-])=O)O1	spark	JBDNRGMMPZUANH-UHFFFAOYSA-N		6.0		
[O-][N+](=O)C1=CC=C(C=C1)S(=O)(=O)C1=CC=CO1	spark	LAOFLSNEBKSTIV-UHFFFAOYSA-N		5.0		
[O-][N+](=O)C1=CC=C(O1)C(=C/C1=CC=CC=C1)\S(=O)(=O)C1=CC=CC=C1	spark	NWOABECMBHUHHH-GHRIWEEISA-N		6.0		
NC1=C(NC2=CC=C(Br)C=C2)C=CC(=C1)[N+]([O-])=O	spark	FWPQHNOYYZCZDF-UHFFFAOYSA-N		6.0		
[O-][N+](=O)C1=C(C=CC=C1)S(=O)(=O)C1=CC=CO1	spark	ORMDKIPEPGMNMZ-UHFFFAOYSA-N		5.0		
N#C\C(=C/C1=CNC2=C1C=CC=C2)C1=CC=CS1	spark	KFSIJILQNGDITB-DHZHZOJOSA-N		5.0		
CC1=C(SC=C1)\C=C(/C#N)C1=CC=CS1	spark	PKBLIRTYLXNWIX-JXMROGBWSA-N		5.0		
[O-][N+](=O)\C=C\C1=CC=C(O1)C1=CC=C(Br)C=C1	spark	XNSSMTISCNZTBR-BQYQJAHWSA-N	5.0	5.0		
O=S(=O)(NC1=C(C#N)C(=C(O1)C1=CC=CC=C1)C1=CC=CC=C1)C1=CC=CS1	spark	JWNFSOUHFYXOFO-UHFFFAOYSA-N		5.0		
OC1=CC=C(OC2=NC3=C(S2)C=CC=C3Cl)C=C1	spark	ALXJROVIADBJOQ-UHFFFAOYSA-N	5.0	6.0		
ClC1=CC=C(NS(=O)(=O)C2=CC=CS2)C=C1	spark	GUDIUBCKVMAUCB-UHFFFAOYSA-N		5.0		
COC1=C(OC)C=C(C=C1)C(=O)NC1=CC(Cl)=CC=C1	spark	OOGINWKKOKKSFT-UHFFFAOYSA-N		5.0		
ClC1=CC(NC(=O)C2=CC=CS2)=CC=C1	spark	FHTIWIPMVNMNHO-UHFFFAOYSA-N		5.0		
COC1=CC=CC(NC(=O)C2=CC=CS2)=C1	spark	ZSPOYUQATHVQLV-UHFFFAOYSA-N		5.0		
COC1=C(C=CC=C1)C(=O)NC1=CC(Br)=CC=C1	spark	WUNXARCUVRHWDJ-UHFFFAOYSA-N		5.0		
COC1=CC=C(COC2=CC=C(C=C(C#N)C#N)C=C2)C=C1	spark	MMPMHXYAPNKZTI-UHFFFAOYSA-N		5.0		
COC1=CC=CC(CNC2=C(C)C=C(Br)C=C2)=C1O	spark	HAOOCEJUOJNIKM-UHFFFAOYSA-N		5.0		
COC1=C(OC)C=C(C=C1)C(=O)CCNC1=CC=C(C=C1)C(C)C	spark	UULPDCUCDGHWMG-UHFFFAOYSA-N		5.0		
[O-][N+](=O)C1=CC(NCCC(=O)C2=CC(=CC=C2)[N+]([O-])=O)=CC=C1	spark	ZRBMKFATBFLUMQ-UHFFFAOYSA-N		5.5		
CC1=NN=C(S1)N1C(C(C(=O)C2=CC=C(C)C=C2)=C(O)C1=O)C1=CC=C(C=C1)C(C)(C)C	spark	IMYBGGKDASVCGA-UHFFFAOYSA-N	5.0			
CC(C)CC(NC1=C(C=C(S1)[N+]([O-])=O)[N+]([O-])=O)C(O)=O	spark	JMSOMTOPIWLYPV-UHFFFAOYSA-N		5.0		
CC(C)C(NC1=C(C=C(S1)[N+]([O-])=O)[N+]([O-])=O)C(O)=O	spark	LMBQXNOXQFXFJT-UHFFFAOYSA-N		5.0		
OC1=C(CCC2CCCCC12)C1=NC=C(S1)[N+]([O-])=O	spark	FECZATKIVHNOMQ-UHFFFAOYSA-N		5.5		
C1CC2=C(NC3=C2C=CC=C3)C2=C(N1)C=CC=C2	spark	RGMNDZJGDBENRC-UHFFFAOYSA-N		5.0		
CC1=CC=C(C=C1)S(=O)(=O)NCCC1=CC=CC=C1	spark	HJIXJBGIPKKBSG-UHFFFAOYSA-N		5.0		
CN1C(=O)C2=C(C=CC=C2)C11C2=C(CCC3=C1C=CC=C3)C=CC=C2	spark	NGMFSGAQSFCZQT-UHFFFAOYSA-N	5.0	5.0		
CN(C)C1=CC2=C(C=C1[N+]([O-])=O)C1=C(C2)C=CC=C1	spark	HUINNTZAYMOQQO-UHFFFAOYSA-N		6.0		
CC1(C)CCC(O)=C(C1)C1=NC=C(S1)[N+]([O-])=O	spark	XPOQRKFJORZLST-UHFFFAOYSA-N	5.0	5.0		
O=C(NC1=NC=CS1)C12CC3CC(CC(C3)C1)C2	spark	SENHUAQKRFCQIJ-UHFFFAOYSA-N		5.0		
OC1=C(CCCC1)C1=NC=C(S1)[N+]([O-])=O	spark	JVCVPSCQZQVZJD-UHFFFAOYSA-N		5.5		
CON1C2=C(C=CC=C2)C(C=O)=C1C1=CC=CC=C1	spark	BPVFSHVFYDLETP-UHFFFAOYSA-N		5.0		
ClC1=CC=C(SC2=CC=C(O2)C=O)C=C1	spark	HVUPEZXYRPDLNI-UHFFFAOYSA-N		5.0		
COC1=CC(=CC(OC)=C1OC)C(N1CCOCC1)C1=CC2=C(OCO2)C=C1O	spark	MDTSGAWUGIJIMV-UHFFFAOYSA-N		5.0		
[O-][N+](=O)C1=CC(=C(S1)C1CCCC2=C(C=CC=C2)C1=O)[N+]([O-])=O	spark	LMEUOAHRDZPGFL-UHFFFAOYSA-N	5.0	5.0		
[O-][N+](=O)C1=CC(=C(S1)C1CCC2=C(C=CC=C2)C1=O)[N+]([O-])=O	spark	PTODVXRTYIZPEL-UHFFFAOYSA-N	5.0	5.0		
COC(C1=CC2=C(OCO2)C=C1O)C1=C(OC)C=C(OC)C=C1	spark	YIUNQRWXHUBPIF-UHFFFAOYSA-N		5.0		
ClC1=C(Cl)C2=C(C=C1)C=C(CC2)N1CCCC1	spark	ATMPOUQCYZWRRQ-UHFFFAOYSA-N		5.0		
CC(C)OC(=S)NC(=O)C1=C(Cl)C2=CC=CC=C2S1	spark	QIJDSYKFLSKBJO-UHFFFAOYSA-N	5.0			
BrC1=CC2=C(C=C1Br)N=CN2	spark	MJVDZXWFJQYHIU-UHFFFAOYSA-N		6.0		
ClC1=C(SC2=C1C=CC=C2)C(=O)NC(=S)N1CCCC1	spark	AOFYKSOMQGUWIV-UHFFFAOYSA-N		7.0		
COC1=C(N=C(C(=N1)N1CCOCC1)[N+]([O-])=O)[N+]([O-])=O	spark	UCDKUIYXHKRSKI-UHFFFAOYSA-N		5.0		
N#C\C(=C/C1=CC=CC=C1)C1=NC2=C(S1)C=CC=C2	spark	UUPWGOWJOMCZDQ-JLHYYAGUSA-N		6.0		
ClC1=CC=CC2=C1N(CC=C)C(=O)S2	spark	DUMXDUGUJNUUEM-UHFFFAOYSA-N		5.0		
[O-][N+](=O)C1=CC=CC(NC(=O)CSC2=NC3=C(S2)C=CC=C3)=C1	spark	HPRSRENRFNXSPQ-UHFFFAOYSA-N		5.0		
O\N=C(\C=C\C(=N/O)\C1=CC=CC=C1)/C1=CC=CC=C1	spark	BUVQFUKVZNDQAJ-VPFKSJBZSA-N	5.0	5.0		
[H][C@]12CON(C3=CC=C(C=C3)C(C)(C)C)[C@@]1([H])CSC2	spark	VAQNWSIIZKGTBK-RISCZKNCSA-N		5.0		
COC1=C(OC)C2=C(C=C1)C=C1N(CCC3=C1C=C1OCOC1=C3)C2C1=CC=CC=C1	spark	URORHRUZIFMNIT-UHFFFAOYSA-N	5.0			
COC1=C(OC)C2=C(C=C1)C=C1N(CCC3=C1C=C1OCOC1=C3)C2CC1=CC=CC=C1	spark	NCGZRLGSEHVTTI-UHFFFAOYSA-N	5.0			
CSC1=NC=C(OCC(=C)OC2=CN=C(SC)N=C2)C=N1	spark	IFHXODKOTMCUIY-UHFFFAOYSA-N		5.0		
O=C(\C=C1/CS(=O)(=O)C=C1)C1=CC=CC=C1	spark	DXJQQRALIWOZEY-NTMALXAHSA-N	5.0	5.5		
COC1=CC=C(\C=C(\C#N)C2=CC=CC=C2)C=C1	spark	VQADOVBGJXESGV-PTNGSMBKSA-N		5.0		
BrC1=CC=CC=C1NC(=O)NOCC1=CC=CC=C1	spark	RLQRIBAFHZQDEX-UHFFFAOYSA-N		5.0		
NC1=C(SC2=C1C=C1CCCCCC1=N2)C(=O)C1=CC=CC=C1	spark	FFEJFZLYSMGADE-UHFFFAOYSA-N		6.0		
ClC1=C(NC(=O)COC2=CC=CC=C2)C=CC=C1	spark	FMOHXOTYTNYYBF-UHFFFAOYSA-N		5.0		
CC1=CC=C(NC(=O)COC2=CC=C(C)C=C2)C=C1	spark	FJLFDLRRGDPNPN-UHFFFAOYSA-N		5.0		
CCC1=CC=C(OCC(=O)NC2=CC=C(OC)C=C2)C=C1	spark	VIMRDZNRHFCOFD-UHFFFAOYSA-N		5.0		
NC1=CC2=C(C=C1)C(C1=CC=CS1)C(C#N)=C(N)O2	spark	GFKDURCPRUHGLE-UHFFFAOYSA-N		5.0		
NC1=C(OC2=C1C=CC=C2)C(=O)C1=CC=CC=C1	spark	PZLZVWMURFZVHC-UHFFFAOYSA-N		5.0		
CC1CN(CCS1)S(=O)(=O)C1=CC=C(C)C=C1	spark	BSVMDWFHKWGTCK-UHFFFAOYSA-N		5.0		
OC1C2=C(SC=C2)SCC2=C1C=C(Cl)C=C2	spark	CDGWCZUDUGLOLJ-UHFFFAOYSA-N		5.0		
O=C1SC2=C(C=CC=C2)N1COC1=CC=CC=C1	spark	IRGYDGKLOPGGBS-UHFFFAOYSA-N		5.0		
CCN1C(=O)C(C(=O)NCC2=CC=NC=C2)=C(O)C2=C1C=CC=C2	spark	SGTSXLQZYGFSSO-UHFFFAOYSA-N		5.0		
CCCCCSC1=NC2=C(N1CCC)C(=O)NC(=O)N2C	spark	CORZFYZBFOLLRJ-UHFFFAOYSA-N		5.0		
CCN1C(=O)C(C(=O)NC2=CC(O)=CC=C2)=C(O)C2=C1C=CC=C2	spark	NRYYJZBODNRCDW-UHFFFAOYSA-N	5.0	5.0		
[O-][N+](=O)C1=CC=C(C=C1)S(=O)(=O)NCCC1=CC=CC=C1	spark	UUXNIYKEFYLNFA-UHFFFAOYSA-N	5.0			
BrC1=CC=C(OCC(=O)NCCC2=CC=CC=C2)C=C1	spark	FWEUMDUHELEGDN-UHFFFAOYSA-N		5.0		
ClC1=CC=CC(NC(=O)C2=CC=CO2)=C1	spark	GXPIOIIKCASZKA-UHFFFAOYSA-N		5.0		
CC1=CC=C(NC(=O)CCCOC2=C(Cl)C=C(Cl)C=C2)C=C1	spark	MDNSSRMSIUTKIC-UHFFFAOYSA-N		5.0		
CCCC1=CC=C(OCC(=O)NC2=C(C)C(Cl)=CC=C2)C=C1	spark	UBDVRDKIVAPPRQ-UHFFFAOYSA-N		6.0		
COC1=CC=C(NC(=O)COC2=CC=C(C)C=C2)C=C1	spark	FRZYSRGIJHSQIU-UHFFFAOYSA-N		5.0		
CCO\N=C(/CC)C1C(=O)C2=C(C=CC=C2)C1=O	spark	KDLOXRBFSQGTIN-RVDMUPIBSA-N		5.0		
CCO\N=C(/C)C1C(=O)C2=C(C=CC=C2)C1=O	spark	ZTPACLWZROWLIL-RIYZIHGNSA-N		5.0		
COC1=CC=C(NC(=O)COC2=CC=CC=C2)C=C1	spark	LVSSYINVRUSJDA-UHFFFAOYSA-N		5.0		
CC1=CC(Br)=C(NC(=O)COC2=CC=CC=C2)C=C1	spark	UMZDKZVFTPBFLE-UHFFFAOYSA-N		5.0		
O=S(=O)(NCCC1=CC=CC=C1)C1=CC=CC=C1	spark	ASBWJERTCCTIMI-UHFFFAOYSA-N		5.0		
O=S(=O)(NC12CC3CC(CC(C3)C1)C2)C1=CC=CC=C1	spark	JERBYSUMEPBCKC-UHFFFAOYSA-N		5.0		
C1CCC(CC1)OC1=NC2=C(S1)C=CC=C2	spark	BDTPJCONPRVWHE-UHFFFAOYSA-N		5.0		
[O-][N+](=O)C1=CC=CC(=C1)N(CC1=CC=CC=C1)C(=O)COC1=CC=CC=C1	spark	RXSHJERZLSDWMI-UHFFFAOYSA-N		5.0		
C(N1C2=C(C=CC=C2)C2=NC3=C(C=CC=C3)N=C12)C1=CC=CC=C1	spark	DEOJRRAEOWDJJM-UHFFFAOYSA-N		5.0		
CCN(CC)CC(O)CN1C2=C(C=C(Br)C=C2)C2=C1C=CC(Br)=C2	spark	AHLOLDXAJANKQP-UHFFFAOYSA-N	5.0	5.0		
OCCNCC(O)CN1C2=C(C=C(Cl)C=C2)C2=C1C=CC(Cl)=C2	spark	ANSLPLAEJSXSFQ-UHFFFAOYSA-N		5.0		
OC(CN1CCCC1)CN1C2=C(C=C(Cl)C=C2)C2=C1C=CC(Cl)=C2	spark	VXMFEHUNDKFMOF-UHFFFAOYSA-N	5.0	5.0		
OCCNCC(O)CN1C2=C(C=C(Br)C=C2)C2=C1C=CC(Br)=C2	spark	OXGQUYAYFRUDHS-UHFFFAOYSA-N	5.0	5.0		
O(C1=NC2=C(S1)C=CC=C2)C1=CC=CC=C1	spark	MWTPXLULLUBAOP-UHFFFAOYSA-N		5.0		
CSC1=NN2C(C=C(NC2=N1)C1=CC=CC=C1)C1=CC=CC=C1	spark	IREZZXZJCULSRP-UHFFFAOYSA-N		5.0		
CCC(=O)ONC1=CC2=C(C=C1)N=C(SC)S2	spark	UCXGASICHYMQSI-UHFFFAOYSA-N		5.0		
O=S(=O)(OCN1C(=S)SC2=C1C=CC=C2)C1=CC=CC=C1	spark	KXWNDDPNSOEYNR-UHFFFAOYSA-N	5.0			
O=C1SC2=C(C=CC=C2)N1\C=C\C1=CC=CC=C1	spark	HDFJJNBNBQVMLI-ZHACJKMWSA-N		5.0		
[O-][N+](=O)C1=CC=C(C=C1)C1=CC=C(O1)C=C(C#N)C#N	spark	HTEXNAVPHOCCEI-UHFFFAOYSA-N		5.0		
CN1C(=O)C(C(=O)NC2=NC=C(C)S2)=C(O)C2=C1C=CC=C2	spark	NFVLZWAGENKRDR-UHFFFAOYSA-N		7.0		
CCCN1C(=O)C(C(=O)NNC(=O)CC)=C(O)C2=C1C=CC=C2	spark	QUNDKECZTKKGKZ-UHFFFAOYSA-N		5.0		
CC1=CC=C(NC(=O)C2=CC3=C(O2)C=CC=C3)C(C)=C1	spark	RONISXQLRCPHII-UHFFFAOYSA-N		5.0		
CCS(=O)(=O)C1=NC2=C(S1)C=CC=C2	spark	ZYGPCLHWVYJMPA-UHFFFAOYSA-N		5.0		
O=C1NC2=C(C=CC=C2)\C1=N\C1=CC=C(NC2=CC=CC=C2)C=C1	spark	DESDOYAKQZNPMO-UHFFFAOYSA-N		5.0		
C=CCS(=O)(=O)C1=NC2=C(S1)C=CC=C2	spark	LLETVIRFTRIQGN-UHFFFAOYSA-N		5.0		
N\C(=N\S(=O)(=O)C1=CC=C(Cl)C=C1)C1=CC=C(Cl)C=C1	spark	FUUHWOIGRQUJPU-UHFFFAOYSA-N		5.0		
ClC1=CC=C(C=C1)C1C=C(NC2=NC=NN12)C1=CC=C(Br)C=C1	spark	OBLMXTWFMGMUBM-UHFFFAOYSA-N		5.0		
NC(=O)C(=O)NC1=NC(=CS1)C12CC3CC(CC(C3)C1)C2	spark	ICDQYROAJOSYJG-UHFFFAOYSA-N		5.0		
CCCCC(=O)NNC(=O)C1=C(O)C2=C(C=CC=C2)N(C)C1=O	spark	YAMIADXFCQNZAC-UHFFFAOYSA-N		5.0		
CN(C)CCCNC(=O)C(=O)NC1=NC(=CS1)C12CC3CC(CC(C3)C1)C2	spark	ZUYJYEAJOWLGLU-UHFFFAOYSA-N		5.0		
CN(C)CCNC(=O)C(=O)NC1=NC(=CS1)C12CC3CC(CC(C3)C1)C2	spark	GCAHRTQBCDIBAR-UHFFFAOYSA-N		5.0		
O=C(NCC1=CC=CO1)C(=O)NC1=NC(=CS1)C12CC3CC(CC(C3)C1)C2	spark	JKRISFHMLDRVAS-UHFFFAOYSA-N	5.0			
O=C(NCC1CCCO1)C(=O)NC1=NC(=CS1)C12CC3CC(CC(C3)C1)C2	spark	HZPWEALSZGYALZ-UHFFFAOYSA-N	5.0			
CCCCNC(=O)C(=O)NC1=NC(=CS1)C12CC3CC(CC(C3)C1)C2	spark	SSTXDSSRVXIZCZ-UHFFFAOYSA-N		6.0		
CC1=CC=C(CC2=CC(C)=NC=C2C)C(C)=C1	spark	UXLQVMDEZHZLBO-UHFFFAOYSA-N		5.0		
CCCN1C2=C(C=CC=C2)C2=C1N=C(S)N=N2	spark	VKBHDEMYBUCXJW-UHFFFAOYSA-N	5.0			
CC(C)(C)C1=CC=C(C=C1)C1=NN=C(S)N1CC=C	spark	DWHZDECQMUUDJV-UHFFFAOYSA-N		5.0		
CC(=O)NC(CO)C(=O)C1=CC=C(C=C1)[N+]([O-])=O	spark	MXTCOGZRSFDQTK-UHFFFAOYSA-N		6.0		
OC(=O)C1=C(SC2CC(=O)N(C2=O)C2=CC=CC=C2)C=CC=C1	spark	POYASDCQBXPHNL-UHFFFAOYSA-N		5.0		
CC1=CC=CC=C1N1C(=O)CC(SC2=C(C=CC=C2)C(O)=O)C1=O	spark	QWPRCIGYEPLAMY-UHFFFAOYSA-N		5.0		
[O-][N+](=O)C1=CC=CC=C1OC1=CC=C(O1)C=C(C#N)C#N	spark	CFAMOKLIMZXATA-UHFFFAOYSA-N		5.0		
COC1=CC=C(C=C1)C1=CC=C(O1)\C=C(/C#N)C1=CC=CO1	spark	NMYVKIZLIGILKU-SDNWHVSQSA-N		5.0		
CC1=CC=C(C=C1)C1=CC=C(O1)\C=C(/C#N)C1=CC=CO1	spark	AXTZXUZYRRMXLO-RVDMUPIBSA-N	5.0			
[O-][N+](=O)C1=CC=C(Cl)C=C1SC1=CC=CC2=C1N=CC=C2	spark	HUZMWVXEPWFFBE-UHFFFAOYSA-N		5.0		
NC1=CC2=NC3=C(SC2=CC1=O)C=CC=C3	spark	KGVTYHSCRSDENW-UHFFFAOYSA-N	5.0	6.0		
CCN(CC)C1CC(=O)N(C1=O)C1=CC=CC=C1	spark	MHTCYIZAJUFFCK-UHFFFAOYSA-N	5.0	5.0		
O=C(NC1CCCCCCC1)C(=O)NC1=NC=CS1	spark	LVBRWMIODCDDBC-UHFFFAOYSA-N		5.0		
O=C(NC1CCCCCC1)C(=O)NC1=NC=CS1	spark	AQAXJLQOWQUFDB-UHFFFAOYSA-N		5.0		
O=C1CS\C(=N\CC2=CC=CO2)N1C1=CC=CC=C1	spark	YTZJXJFGEVQXLF-CCEZHUSRSA-N		5.0		
COC1=CC(NC(=O)C2=CC=CC=C2C)=C(OC)C=C1	spark	OIRYNWFFKUOFHJ-UHFFFAOYSA-N		5.0		
CCC1=NC2=C(C3=C(CCCC3)S2)C(=O)N1N	spark	JTUOIPZAMZSVTD-UHFFFAOYSA-N		5.0		
N(C1=NC(=CS1)C1=CC=CS1)C1=CC=CC=C1	spark	JUCVZHFHTKYBDE-UHFFFAOYSA-N	5.0	5.0		
N1C=C(C(C2=CC=CC=C2)C2=C1C=CC=C2)C1=NC2=CC=CC=C2C=C1	spark	DZPPRMVJKJMNJX-UHFFFAOYSA-N		5.0		
CN1C(=CC(C#N)=C1C1=CC=CC=C1)C1=CC=CC=C1	spark	PQDWIKOPXRADSY-UHFFFAOYSA-N		6.0		
FC1=CC=C(C=C1)C1=CC(N2N=CN=C2N1)C1=CC=C(Br)C=C1	spark	FPVQMASDXNSTPU-UHFFFAOYSA-N		5.0		
CCOC1=NC=NC2=C1C1=C(CCCC1)S2	spark	WZUOYNVFYMFJPS-UHFFFAOYSA-N		5.0		
CC1NC2=C(C=CC=C2)C=C1C1=NC2=CC=CC=C2C=C1	spark	ABMVLXZBJHXPPE-UHFFFAOYSA-N		5.0		
CCN1C=C(C(C#N)C2=C1C=CC=C2)C1=NC2=CC=CC=C2C=C1	spark	YHJMLNDBAHERDL-UHFFFAOYSA-N		5.0		
CN1C=C(C2=NC3=CC=CC=C3C=C2)C(=S)C2=C1C=CC=C2	spark	BCDNFAPAONBEJB-UHFFFAOYSA-N		5.0		
NN1C(=O)NC2=C(C3=C(CCCC3)S2)C1=O	spark	IPTYLMHNDHFPOP-UHFFFAOYSA-N		5.0		
CN(C)C1=NC=NC2=C1C1=C(CCCC1)S2	spark	QMTYZDOKFYNPJL-UHFFFAOYSA-N		5.0		
[O-][N+](=O)C1=NN(CC2=CC=C(Cl)C=C2)C=C1	spark	KIEAKQSAUQTYPW-UHFFFAOYSA-N		5.0		
CCCCCOC1=CC=C(C=O)C=C1OC	spark	KJTXCEXIFYAIFF-UHFFFAOYSA-N		5.0		
CC(C)(C)C1=CC=C(C=C1)C1=CSC(N)=N1	spark	ABCNUVGFUGMTOA-UHFFFAOYSA-N		5.0		
CC(C)(C)C1CCC2=C(C1)SC(N)=C2C#N	spark	QDIYAWBTKKYATE-UHFFFAOYSA-N		6.0		
NC1=NC(=CS1)C1=C2C=CC=CC2=CC=C1	spark	NBQUWOCIFFHZTM-UHFFFAOYSA-N		5.0		
CCC(C)(C)C1CCC2=C(C1)SC(N)=C2C#N	spark	KWZDWUOSGNGFOU-UHFFFAOYSA-N		6.0		
NC1=NC(=CS1)C1=CC(Cl)=C(Cl)C=C1	spark	UWAXMUSNRIUHRQ-UHFFFAOYSA-N		5.0		
O=C1NC(CC(C1C#N)C1=CC=CS1)C1=CC=CS1	spark	IVWPPTBECFOESB-UHFFFAOYSA-N		5.0		
ClC1=CC=C(C=C1)C1=NC2=CC=CC=C2C(=C1)N1CCOCC1	spark	OMQKMPFUETVCLX-UHFFFAOYSA-N		5.0		
C1CCN(C1)C1=CC(=NC2=C1C=CC=C2)C1=CC=CS1	spark	GWZVTVZKWNUPTJ-UHFFFAOYSA-N	5.0	5.0		
BrC1=C(NC2=NC=CC3=C2C=CC=C3)C=CC=C1	spark	YKWXYZTYEZTHFP-UHFFFAOYSA-N		5.0		
CC1=C(C=CC=C1)C(=O)NC1=C(C=CC=C1)C(=O)C1=CC=CC=C1	spark	FYQAQOCHLMIWIK-UHFFFAOYSA-N		5.0		
COC1=CC=C(NC2=NC(=CS2)C2=CC=CS2)C=C1	spark	HVYKCPZFHOVWLW-UHFFFAOYSA-N		5.0		
ClC1=CC=C(NC2=NC(=CS2)C2=CC=CS2)C=C1	spark	UDANKSIJXLUHBW-UHFFFAOYSA-N	5.0	5.5		
CSC(=S)N1C2=C(C=CC=C2)C2=C1C=CC=C2	spark	TUVWILJGZJUYMW-UHFFFAOYSA-N		5.0		
O=C(CSC1=NCCN1)C1=CC=CS1	spark	BNALKZVFAOXIEH-UHFFFAOYSA-N	5.0	5.0		
CSC1=NC=C(OC(=S)N2CCCCC2)C=N1	spark	CZEIFZIVZWVJNY-UHFFFAOYSA-N		5.0		
ClC1=CC=C(OCC2=NC3=C(C=CC=C3)C=C2)C=C1	spark	PKGYELLVFKDMEV-UHFFFAOYSA-N		5.0		
OC(=O)C1=CN(C2CC2)C2=C(C=C(F)C(Cl)=C2)C1=O	spark	ISPVACVJFUIDPD-UHFFFAOYSA-N		6.0		
OC(=O)C1=CNC2=C(C=C(F)C(Cl)=C2O)C1=O	spark	NHULNYVUGWLSNQ-UHFFFAOYSA-N		6.0		
CCC1CCCCN1S(=O)(=O)C1=CC=C(NC(C)=O)C=C1	spark	VVFKTKMJQFGSQF-UHFFFAOYSA-N		5.0		
FC1=CC=C(C=C1)N1CCN(CC1)C(=O)C1=CC=C(Cl)C=C1	spark	NZFSITISISONCP-UHFFFAOYSA-N		5.0		
[O-][N+](=O)C1=CC=C(C=C1)N1CCN(CC1)C(=O)C1=CC(Cl)=CC=C1	spark	YIWDBGKWWMAHNY-UHFFFAOYSA-N		5.0		
ClC1=CC=CC(=C1)C(=O)NC1CCCCCC1	spark	CFAOEBFSQCPXKM-UHFFFAOYSA-N		5.0		
CCC1=CC(CC)=C(C#[N+][O-])C(CC)=C1C#[N+][O-]	spark	YHVONUJRRJSXSP-UHFFFAOYSA-N	5.0			
NC1=NC(NC23CC4CC(CC(C4)C2)C3)=NC(=N1)C1=C(O)C=CC(Cl)=C1	spark	HCMBQGILZSVITN-UHFFFAOYSA-N	6.0			
CCC(C)C1=CC=C(NC(=O)COC2=CC=CC=C2)C=C1	spark	VEPVFYYNPBUJCQ-UHFFFAOYSA-N		5.0		
