compound_smiles	compound_source	compound_inchikey	gram-positive	gram-negative	fungi	acid-fast
CO\N=C(/C(=O)N[C@H]1[C@H]2SCC(\C=C/C3=C(C)N=CS3)=C(N2C1=O)C(O)=O)C1=CSC(N)=N1	spark	KMIPKYQIOVAHOP-YLGJWRNMSA-N	6.0	7.0		
CO\N=C(/C(=O)N[C@H]1[C@H]2SCC(C[N+]3(C)CCCC3)=C(N2C1=O)C([O-])=O)C1=CSC(N)=N1	spark	HVFLCNVBZFFHBT-ZKDACBOMSA-N	5.0	6.0		
NC1=NC(=CS1)C(=N\OCC(O)=O)\C(=O)N[C@H]1[C@H]2SCC(C=C)=C(N2C1=O)C(O)=O	spark	OKBVVJOGVLARMR-QSWIMTSFSA-N	5.5	6.0		
CO[C@]1(NC(=O)CSCC#N)[C@H]2SCC(CSC3=NN=NN3C)=C(N2C1=O)C(O)=O	spark	SNBUBQHDYVFSQF-HIFRSBDPSA-N	6.0	6.0		
CO[C@]1(NC(=O)C2SC(S2)=C(C(N)=O)C(O)=O)[C@H]2SCC(CSC3=NN=NN3C)=C(N2C1=O)C(O)=O	spark	SRZNHPXWXCNNDU-RHBCBLIFSA-N	5.5	6.0		
CO[C@]1(NC(=O)CC2=CC=CS2)[C@H]2SCC(COC(N)=O)=C(N2C1=O)C(O)=O	spark	WZOZEZRFJCJXNZ-ZBFHGGJFSA-N	6.0	5.0		
CO\N=C(/C(=O)N[C@H]1[C@@H]2SCC(C[N+]3=CC=CC4=C3CCC4)=C(N2C1=O)C([O-])=O)C1=CSC(N)=N1	spark	DKOQGJHPHLTOJR-XECLGWKCSA-N	6.0	6.0		
COCC1=C(N2[C@H](SC1)[C@H](NC(=O)C(=N/OC)\C1=CSC(N)=N1)C2=O)C(O)=O	spark	WYUSVOMTXWRGEK-HBWVYFAYSA-N	5.5	6.0		
C\C=C/C1=C(N2[C@H](SC1)[C@H](NC(=O)[C@H](N)C1=CC=C(O)C=C1)C2=O)C(O)=O	spark	WDLWHQDACQUCJR-AGGBKSKLSA-N	6.0	5.0		
CC(C)(O\N=C(/C(=O)N[C@H]1[C@H]2SCC(C[N+]3=CC=CC=C3)=C(N2C1=O)C([O-])=O)C1=CSC(N)=N1)C(O)=O	spark	ORFOPKXBNMVMKC-DWVKKRMSSA-N	5.0	6.0		
CO\N=C(/C(=O)N[C@H]1[C@H]2SCC=C(N2C1=O)C(O)=O)C1=CSC(N)=N1	spark	NNULBSISHYWZJU-LLKWHZGFSA-N	5.5	5.5		
NC1=NC(=NS1)C(=N\O)\C(=O)N[C@H]1[C@H]2SCC(\C=C3/CCN([C@@H]4CCNC4)C3=O)=C(N2C1=O)C(O)=O	spark	VOAZJEPQLGBXGO-SDAWRPRTSA-N	6.0	6.0		
[Na+].CO\N=C(/C(=O)N[C@H]1[C@H]2SCC(CSC3=NC(=O)C(=O)NN3C)=C(N2C1=O)C([O-])=O)C1=CSC(N)=N1	spark	YOBPSXOHCHDCMU-VKZZUTNHSA-M	6.0	5.0		
CO\N=C(/C(=O)N[C@H]1[C@H]2SCC(COC(N)=O)=C(N2C1=O)C(O)=O)C1=CC=CO1	spark	JFPVXVDWJQMJEE-IZRZKJBUSA-N	6.0	6.0		
CC1=C(N2[C@H](SC1)[C@H](NC(=O)[C@H](N)C1=CC=CC=C1)C2=O)C(O)=O	spark	ZAIPMKNFIOOWCQ-UEKVPHQBSA-N	6.0	5.0		
CC(=O)OCC1=C(N2[C@H](SC1)[C@H](NC(=O)CC1=CC=CS1)C2=O)C(O)=O	spark	XIURVHNZVLADCM-IUODEOHRSA-N	6.5	5.0		
CC1=C(N2[C@H](SC1)[C@H](NC(=O)[C@H](N)C1=CCC=CC1)C2=O)C(O)=O	spark	RDLPVSKMFDYCOR-UEKVPHQBSA-N	6.0	4.0		
CC[C@H]1OC(=O)[C@H](C)C(=O)[C@H](C)[C@@H](OC2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@@](C)(C[C@@H](C)C(=O)[C@H](C)[C@H]2NC(=O)O[C@]12C)OC\C=C\C1=CN=C2C=CC=CC2=C1	spark	PENDGIOBPJLVBT-ILRVYHQRSA-N	6.0			
COC1C(OC(=O)C2=CC=C(C)N2)C(O)C(OC2=C(Cl)C3=C(C=C2)C(O)=C(NC(=O)C2=CC(CC=C(C)C)=C(O)C=C2)C(=O)O3)OC1(C)C	spark	FJAQNRBDVKIIKK-UHFFFAOYSA-N	6.0	5.0		
CN(C)[C@H]1[C@@H]2C[C@H]3C(=C(O)[C@]2(O)C(=O)C(C(N)=O)=C1O)C(=O)C1=C(O)C=CC(Cl)=C1[C@@]3(C)O	spark	CYDMQBQPVICBEU-XRNKAMNCSA-N	6.0	6.0		
OC(=O)C1=CN(C2CC2)C2=CC(N3CCNCC3)=C(F)C=C2C1=O	spark	MYSWGUAQZAJSOK-UHFFFAOYSA-N	6.0	7.0		7.0
CC[C@H]1OC(=O)[C@H](C)[C@@H](O[C@H]2C[C@@](C)(OC)[C@@H](O)[C@H](C)O2)[C@H](C)[C@@H](O[C@@H]2O[C@H](C)C[C@@H]([C@H]2O)N(C)C)[C@@](C)(C[C@@H](C)C(=O)[C@H](C)[C@@H](O)[C@]1(C)O)OC	spark	AGOYDEPGAOXOCK-KCBOHYOISA-N	7.0	5.0		
NC1CCN(C1)C1=C(F)C=C2C(=O)C(=CN(C3CC3)C2=C1Cl)C(O)=O	spark	QGPKADBNRMWEQR-UHFFFAOYSA-N	7.0	7.0		
CCC[C@@H]1C[C@H](N(C)C1)C(=O)NC(C(C)Cl)[C@H]1O[C@H](SC)[C@H](O)[C@@H](O)[C@H]1O	spark	KDLRVYVGXIQJDK-NOWPCOIGSA-N	6.5	4.0		
CC1=C(C(=O)N[C@H]2[C@H]3SC(C)(C)[C@@H](N3C2=O)C(O)=O)C(=NO1)C1=C(Cl)C=CC=C1	spark	LQOLIRLGBULYKD-JKIFEVAISA-N	6.0	5.0		
CN[C@@H]1C2=CC=C(OC3=CC(O)=C(Cl)C(=C3)[C@@H]3NC(=O)[C@@H](CC4=CC=C(OC5=C(O[C@@H]6O[C@@H]([C@@H](O)[C@H](O)[C@H]6NC(=O)CCCCCCCCC(C)C)C(O)=O)C6=CC(=C5)[C@@H](NC3=O)C(=O)N[C@@H]3C5=CC=C(O)C(=C5)C5=C(O[C@H]7O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]7O)C=C(O)C=C5[C@H](NC(=O)[C@@H](NC3=O)[C@H](O)C3=CC=C(O6)C(Cl)=C3)C(=O)NCCCN(C)C)C=C4)NC1=O)C(O)=C2	spark	IZJRUXNZMRDQJI-SZUNQUCBSA-N	6.0			
CCN(CC)CCS(=O)(=O)[C@@H]1CCN2C1C(=O)O[C@H](C(C)C)[C@H](C)\C=C\C(=O)NC\C=C\C(\C)=C\[C@@H](O)CC(=O)CC1=NC(=CO1)C2=O	spark	SUYRLXYYZQTJHF-RJUFQJKESA-N	6.0			
CN1C[C@@H]2C[C@H]1CN2C1=CC2=C(C=C1F)C(=O)C(=CN2C1CC1)C(O)=O	spark	QMLVECGLEOSESV-RYUDHWBXSA-N	6.5	7.0		
